id,organization,contact_name,city_region,type,website,best_email,phone,priority,persona_hook,email_confidence,status,date_contacted,notes
1,History Center of San Luis Obispo County,Thomas Kessler,San Luis Obispo,museum,https://www.historycenterslo.org/,director@historycenterslo.org (also researchroom@historycenterslo.org),805-543-0638,A,Myron Angel / SLO County founding & newspaper history,Verified,Emailed,2026-07-15,Sent batch 1
2,El Paso de Robles Area Historical Society / Paso Robles History Museum,Erik Hormann,Paso Robles,historical society,https://www.pasorobleshistoricalsociety.org/,pasohistory1@gmail.com,805-238-4996,A,Myron Angel / North County settlement & rail era,Verified,Emailed,2026-07-15,Sent batch 1
3,Atascadero Historical Society (Colony House Museum),,Atascadero,historical society,https://www.atascaderohistoricalsociety.org/,atascaderocolonymuseum@gmail.com,805-466-8341,A,Myron Angel / planned colony & Central Coast growth,Verified,Emailed,2026-07-15,Sent batch 1
4,Cambria Historical Society,Melody Coe,Cambria,historical society,http://www.cambriahistoricalsociety.com/,info@cambriahistoricalsociety.com,805-927-2891,A,Myron Angel / North Coast SLO County,Verified,Emailed,2026-07-15,Sent batch 1
5,South County Historical Society,Jim Gregory,Arroyo Grande,historical society,https://southcountyhistory.org/,info@southcountyhistory.org,805-489-8282,A,Myron Angel / South County ranching & town history,Verified,Emailed,2026-07-15,Sent batch 1
6,Historical Society of Morro Bay,,Morro Bay,historical society,https://historicalmorrobay.org/,info@historicmorrobay.org,805-772-1058,A,Myron Angel / coastal SLO County,Verified,Emailed,2026-07-15,Sent batch 2
7,Dana Adobe Nipomo Amigos,,Nipomo,mission/heritage,https://www.danaadobe.org/,dana@danaadobe.org,805-929-5679,A,Myron Angel / rancho California & Chumash landscape,Verified,Emailed,2026-07-15,Sent batch 2
8,Mission San Luis Obispo de Tolosa,,San Luis Obispo,mission/heritage,https://missionsanluisobispo.org/,office@oldmissionslo.org,805-781-8220,A,Myron Angel / mission-era foundations of SLO,Verified,Emailed,2026-07-15,Sent batch 2
9,Mission San Miguel Arcángel,,San Miguel,mission/heritage,http://www.missionsanmiguel.com/,friars@missionsanmiguel.org,805-467-2131,A,Myron Angel / North County mission corridor,Verified,Emailed,2026-07-15,Sent batch 2
10,San Luis Obispo County Genealogical Society,,San Luis Obispo,archive,https://slocgs.org/,slocgscontact@gmail.com,—,A,Myron Angel / family & land-record research partners,Verified,Emailed,2026-07-15,Sent batch 2
